2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:31:<module>:INFO: Started crawler
2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:100:<module>:INFO: Crawling for: ['waltmossberg']
2012-04-10 11:19:18,322:twitter_crawl_friends_and_followers:56:crawl:INFO: Getting user info
2012-04-10 11:19:18,322:twitter__util:110:getUserInfo:DEBUG: entering
2012-04-10 11:19:18,322:twitter__util:119:getUserInfo:INFO: Retrieving user info for 1 screen names and 0 user ids
2012-04-10 11:19:18,322:twitter__util:123:getUserInfo:DEBUG: screen_name while loop: Found 1 screen names
2012-04-10 11:19:18,322:twitter__util:126:getUserInfo:DEBUG: waltmossberg
2012-04-10 11:19:18,323:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:144:getUserInfo:INFO: Completed user info search for 1 screen names
2012-04-10 11:19:18,780:twitter__util:80:_getFriendsOrFollowersUsingFunc:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:86:_getFriendsOrFollowersUsingFunc:DEBUG: while loop: cursor = -1
2012-04-10 11:19:18,781:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:19,140:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 31127446
2012-04-10 11:19:19,140:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 39523
2012-04-10 11:19:19,141:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 35474809
2012-04-10 11:19:19,141:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 12335122
2012-04-10 11:19:19,142:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 43460804
2012-04-10 11:19:19,142:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 43630614
2012-04-10 11:19:19,142:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17642849
2012-04-10 11:19:19,143:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 52304146
2012-04-10 11:19:19,143:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15827293
2012-04-10 11:19:19,143:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 22517990
2012-04-10 11:19:19,144:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 18608514
2012-04-10 11:19:19,144:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 21797658
2012-04-10 11:19:19,145:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 10276892
2012-04-10 11:19:19,145:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14464766
2012-04-10 11:19:19,145:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 13416712
2012-04-10 11:19:19,146:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 42542058
2012-04-10 11:19:19,146:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 5746402
2012-04-10 11:19:19,147:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19372797
2012-04-10 11:19:19,147:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 8479062
2012-04-10 11:19:19,147:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 652293
2012-04-10 11:19:19,148:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 1130021
2012-04-10 11:19:19,148:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 37917164
2012-04-10 11:19:19,149:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15509422
2012-04-10 11:19:19,149:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 2730791
2012-04-10 11:19:19,149:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 36770301
2012-04-10 11:19:19,150:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 13824412
2012-04-10 11:19:19,150:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15985743
2012-04-10 11:19:19,150:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 5403622
2012-04-10 11:19:19,151:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15647472
2012-04-10 11:19:19,151:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14216123
2012-04-10 11:19:19,151:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16124187
2012-04-10 11:19:19,152:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 10454572
2012-04-10 11:19:19,152:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14945261
